,tic_p3,filename,anomaly_score_p3,tic_p9,anomaly_score_p9,is_toi,importance_score,normalized_score,score_sum,score_weighted_root_sum,score_sum_norm,score_weighted_root_sumnorm,matched_label,label_group,similarity_score
0,24265859.0,tess2018206045859-s0001-0000000024265859-0120-s_lc.fits,0.0080321285140561,24265859.0,0.0963855421686746,False,,,0.07871485943775092,0.1337897564482214,0.07404393816110658,0.07278440155024062,outlier,outlier,0.5283278423204004
1,24695711.0,tess2018206045859-s0001-0000000024695711-0120-s_lc.fits,0.0120481927710843,24695711.0,0.0843373493975904,False,,,0.06987951807228918,0.14589319494690373,0.06509357200976414,0.08582209721757293,outlier,outlier,0.5296220971983309
2,24706359.0,tess2018206045859-s0001-0000000024706359-0120-s_lc.fits,0.004016064257028,24706359.0,0.0602409638554216,False,,,0.048995983935742886,0.0997860094093391,0.04393816110659071,0.036155925643153244,outlier,outlier,0.44141952991684125
3,24706893.0,tess2018206045859-s0001-0000000024706893-0120-s_lc.fits,0.004016064257028,24706893.0,0.1265060240963855,False,,,0.102008032128514,0.1218333107365383,0.09764035801464607,0.05990504495509823,*,stellar,0.6383815821097639
4,24750915.0,tess2018206045859-s0001-0000000024750915-0120-s_lc.fits,0.004016064257028,24750915.0,0.0783132530120481,False,,,0.06345381526104407,0.10666695040020777,0.0585842148087876,0.043568002347932996,outlier,outlier,0.5356079117871603
5,25078674.0,tess2018206045859-s0001-0000000025078674-0120-s_lc.fits,0.0040160642570282,25078674.0,0.0060240963855421,False,,,0.00562248995983932,0.06622095055608536,4.0766001685454967e-17,1.3600232051658168e-15,outlier,outlier,0.4661663853291145
6,25078924.0,tess2018206045859-s0001-0000000025078924-0120-s_lc.fits,0.0240963855421685,25078924.0,0.1566265060240963,False,,,0.13012048192771075,0.20333621763425058,0.12611879576891777,0.1476991124220396,outlier,outlier,0.5387997586367086
7,25131718.0,tess2018206045859-s0001-0000000025131718-0120-s_lc.fits,0.0040160642570282,25131718.0,0.0060240963855421,False,,,0.00562248995983932,0.06622095055608536,4.0766001685454967e-17,1.3600232051658168e-15,outlier,outlier,0.40289499674062756
8,25118964.0,tess2018206045859-s0001-0000000025118964-0120-s_lc.fits,0.0080321285140561,25118964.0,0.0662650602409639,False,,,0.054618473895582345,0.1231817158838148,0.04963384865744516,0.06135753268809817,outlier,outlier,0.422347302648569
9,25132314.0,tess2018206045859-s0001-0000000025132314-0120-s_lc.fits,0.0080321285140561,25132314.0,0.108433734939759,False,,,0.08835341365461842,0.13755627038552898,0.08380797396257121,0.07684165044250606,s*b,planet_like,0.6132362130801134
10,25132754.0,tess2018206045859-s0001-0000000025132754-0120-s_lc.fits,0.004016064257028,25132754.0,0.0180722891566265,False,,,0.0152610441767068,0.07758458293885076,0.009764035801464656,0.012240784360418186,outlier,outlier,0.45287131721196316
11,25134442.0,tess2018206045859-s0001-0000000025134442-0120-s_lc.fits,0.004016064257028,25134442.0,0.0060240963855421,False,,,0.00562248995983928,0.0662209505560841,0.0,0.0,outlier,outlier,0.5925763474161593
12,25139818.0,tess2018206045859-s0001-0000000025139818-0120-s_lc.fits,0.004016064257028,25139818.0,0.0903614457831325,False,,,0.0730923694779116,0.1108183012461727,0.06834825061025226,0.04803979347934624,outlier,outlier,0.4979973139821286
13,25153041.0,tess2018206045859-s0001-0000000025153041-0120-s_lc.fits,0.0240963855421686,25153041.0,0.0240963855421686,False,,,0.024096385542168603,0.15523010514126634,0.018714401952807165,0.09587971791772067,outlier,outlier,0.4647356742617796
14,25153167.0,tess2018206045859-s0001-0000000025153167-0120-s_lc.fits,0.0963855421686745,25153167.0,0.144578313253012,False,,,0.1349397590361445,0.32441507828896365,0.13100081366965008,0.2781239778134192,outlier,outlier,0.39073351306157916
15,25155664.0,tess2018206045859-s0001-0000000025155664-0120-s_lc.fits,0.0060240963855421,25155664.0,0.0903614457831325,False,,,0.07349397590361442,0.12221240326072144,0.0687550854353133,0.060313399404174725,outlier,outlier,0.47617352332868323
16,25155698.0,tess2018206045859-s0001-0000000025155698-0120-s_lc.fits,0.0060240963855421,25155698.0,0.108433734939759,False,,,0.08795180722891562,0.12795059805032047,0.0834011391375102,0.06649452201282917,outlier,outlier,0.42852718812064966
17,25156036.0,tess2018206045859-s0001-0000000025156036-0120-s_lc.fits,0.0040160642570282,25156036.0,0.0120481927710843,False,,,0.010441767068273081,0.07265079203989683,0.0048820179007323695,0.006926157096949367,outlier,outlier,0.4809756748011702
18,25167696.0,tess2018206045859-s0001-0000000025167696-0120-s_lc.fits,0.036144578313253,25167696.0,0.0120481927710843,False,,,0.01686746987951804,0.17404667212381272,0.011391375101708751,0.11614872443591968,*,stellar,0.7767470544286285
19,25170085.0,tess2018206045859-s0001-0000000025170085-0120-s_lc.fits,0.0040160642570282,25170085.0,0.0060240963855421,False,,,0.00562248995983932,0.06622095055608536,4.0766001685454967e-17,1.3600232051658168e-15,Pl,planet_like,0.6777338544582485
20,25200252.0,tess2018206045859-s0001-0000000025200252-0120-s_lc.fits,0.1244979919678715,25200252.0,0.2831325301204819,False,,,0.25140562248995985,0.38869458227775444,0.2489829129373475,0.34736517821644225,outlier,outlier,0.4875534009911127
21,25202447.0,tess2018206045859-s0001-0000000025202447-0120-s_lc.fits,0.0060240963855421,25202447.0,0.1144578313253011,False,,,0.0927710843373493,0.1297552761871037,0.08828315703824245,0.06843850217412213,outlier,outlier,0.40125616005031034
22,25226885.0,tess2018206045859-s0001-0000000025226885-0120-s_lc.fits,0.0100401606425701,25226885.0,0.3072289156626506,False,,,0.24779116465863452,0.1910169501877732,0.24532139951179824,0.13442892809969748,err,outlier,0.7899317796802803
23,25230545.0,tess2018206045859-s0001-0000000025230545-0120-s_lc.fits,0.0040160642570282,25230545.0,0.108433734939759,False,,,0.08755020080321284,0.11655649603577299,0.08299430431244921,0.05422091608800207,outlier,outlier,0.5226991244784126
24,25243422.0,tess2018206045859-s0001-0000000025243422-0120-s_lc.fits,0.0060240963855421,25243422.0,0.1024096385542169,False,,,0.08313253012048194,0.12609505403382398,0.07851912123677796,0.06449574966503276,outlier,outlier,0.5552154056964296
25,25247445.0,tess2018206045859-s0001-0000000025247445-0120-s_lc.fits,0.0120481927710843,25247445.0,0.0542168674698795,False,,,0.04578313253012046,0.13438043953413212,0.04068348250610257,0.07342067910977736,outlier,outlier,0.5067035821694621
26,25285075.0,tess2018206045859-s0001-0000000025285075-0120-s_lc.fits,0.004016064257028,25285075.0,0.0180722891566265,False,,,0.0152610441767068,0.07758458293885076,0.009764035801464656,0.012240784360418186,PM*,stellar,0.7835855384543353
27,25300088.0,tess2018206045859-s0001-0000000025300088-0120-s_lc.fits,0.0040160642570282,25300088.0,0.0060240963855421,False,,,0.00562248995983932,0.06622095055608536,4.0766001685454967e-17,1.3600232051658168e-15,outlier,outlier,0.4723637256264359
28,25351345.0,tess2018206045859-s0001-0000000025351345-0120-s_lc.fits,0.0040160642570282,25351345.0,0.0903614457831325,False,,,0.07309236947791165,0.11081830124617396,0.0683482506102523,0.0480397934793476,SB*,binary_star,0.6034709864372642
29,25372748.0,tess2018206045859-s0001-0000000025372748-0120-s_lc.fits,0.0140562248995984,25372748.0,0.0903614457831325,False,,,0.07510040160642568,0.1549675221303229,0.07038242473555742,0.09559686628143026,s*b,planet_like,0.6822955346776212
30,25373148.0,tess2018206045859-s0001-0000000025373148-0120-s_lc.fits,0.2590361445783132,25373148.0,0.5421686746987953,False,,,0.48554216867469885,0.5544289567360614,0.48616761594792524,0.5258924897765695,outlier,outlier,0.531508501392289
