tic,filename,anomaly_score
2733611,tess2018234235059-s0002-0000000002733611-0121-s_lc.fits,0.0
2733520,tess2018234235059-s0002-0000000002733520-0121-s_lc.fits,0.0
2733208,tess2018234235059-s0002-0000000002733208-0121-s_lc.fits,0.0
2733409,tess2018234235059-s0002-0000000002733409-0121-s_lc.fits,0.0060240963855421326
2733720,tess2018234235059-s0002-0000000002733720-0121-s_lc.fits,0.012048192771084376
2758909,tess2018234235059-s0002-0000000002758909-0121-s_lc.fits,0.0060240963855421326
2759628,tess2018234235059-s0002-0000000002759628-0121-s_lc.fits,0.0
2758962,tess2018234235059-s0002-0000000002758962-0121-s_lc.fits,0.01807228915662651
2759686,tess2018234235059-s0002-0000000002759686-0121-s_lc.fits,0.030120481927710885
2760102,tess2018234235059-s0002-0000000002760102-0121-s_lc.fits,0.012048192771084376
2760232,tess2018234235059-s0002-0000000002760232-0121-s_lc.fits,0.15261044176706817
2760339,tess2018234235059-s0002-0000000002760339-0121-s_lc.fits,0.02409638554216864
2760710,tess2018234235059-s0002-0000000002760710-0121-s_lc.fits,0.06024096385542166
2760718,tess2018234235059-s0002-0000000002760718-0121-s_lc.fits,0.0
2761086,tess2018234235059-s0002-0000000002761086-0121-s_lc.fits,0.03614457831325302
2761472,tess2018234235059-s0002-0000000002761472-0121-s_lc.fits,0.06024096385542166
2761597,tess2018234235059-s0002-0000000002761597-0121-s_lc.fits,0.012048192771084376
2761836,tess2018234235059-s0002-0000000002761836-0121-s_lc.fits,0.012048192771084376
2761911,tess2018234235059-s0002-0000000002761911-0121-s_lc.fits,0.0
2761897,tess2018234235059-s0002-0000000002761897-0121-s_lc.fits,0.0
2762148,tess2018234235059-s0002-0000000002762148-0121-s_lc.fits,0.03614457831325302
2762303,tess2018234235059-s0002-0000000002762303-0121-s_lc.fits,0.0
2762652,tess2018234235059-s0002-0000000002762652-0121-s_lc.fits,0.1506024096385542
2763177,tess2018234235059-s0002-0000000002763177-0121-s_lc.fits,0.02409638554216864
2835867,tess2018234235059-s0002-0000000002835867-0121-s_lc.fits,0.0
2763236,tess2018234235059-s0002-0000000002763236-0121-s_lc.fits,0.0
2835941,tess2018234235059-s0002-0000000002835941-0121-s_lc.fits,0.14056224899598402
2835989,tess2018234235059-s0002-0000000002835989-0121-s_lc.fits,0.02409638554216864
4579916,tess2018234235059-s0002-0000000004579916-0121-s_lc.fits,0.11044176706827313
2836713,tess2018234235059-s0002-0000000002836713-0121-s_lc.fits,0.012048192771084376
4582469,tess2018234235059-s0002-0000000004582469-0121-s_lc.fits,0.0
4582570,tess2018234235059-s0002-0000000004582570-0121-s_lc.fits,0.0060240963855421326
4602717,tess2018234235059-s0002-0000000004602717-0121-s_lc.fits,0.0
4611069,tess2018234235059-s0002-0000000004611069-0121-s_lc.fits,0.012048192771084376
4619738,tess2018234235059-s0002-0000000004619738-0121-s_lc.fits,0.0
5611068,tess2018234235059-s0002-0000000005611068-0121-s_lc.fits,0.0
None,tess2018234235059-s0002-0000000005632152-0121-s_lc.fits,None
5611236,tess2018234235059-s0002-0000000005611236-0121-s_lc.fits,0.0
5631514,tess2018234235059-s0002-0000000005631514-0121-s_lc.fits,0.02409638554216864
5631575,tess2018234235059-s0002-0000000005631575-0121-s_lc.fits,0.23694779116465858
5632200,tess2018234235059-s0002-0000000005632200-0121-s_lc.fits,0.11445783132530118
5632334,tess2018234235059-s0002-0000000005632334-0121-s_lc.fits,0.0
5632571,tess2018234235059-s0002-0000000005632571-0121-s_lc.fits,0.004016064257028273
5632654,tess2018234235059-s0002-0000000005632654-0121-s_lc.fits,0.0
5632856,tess2018234235059-s0002-0000000005632856-0121-s_lc.fits,0.12449799196787148
5632933,tess2018234235059-s0002-0000000005632933-0121-s_lc.fits,0.0
5633109,tess2018234235059-s0002-0000000005633109-0121-s_lc.fits,0.012048192771084376
5633132,tess2018234235059-s0002-0000000005633132-0121-s_lc.fits,0.10040160642570273
5633483,tess2018234235059-s0002-0000000005633483-0121-s_lc.fits,0.0
5633903,tess2018234235059-s0002-0000000005633903-0121-s_lc.fits,0.012048192771084376
5634073,tess2018234235059-s0002-0000000005634073-0121-s_lc.fits,0.012048192771084376
5634158,tess2018234235059-s0002-0000000005634158-0121-s_lc.fits,0.2550200803212851
5634659,tess2018234235059-s0002-0000000005634659-0121-s_lc.fits,0.012048192771084376
5634788,tess2018234235059-s0002-0000000005634788-0121-s_lc.fits,0.0
5639386,tess2018234235059-s0002-0000000005639386-0121-s_lc.fits,0.0
5639467,tess2018234235059-s0002-0000000005639467-0121-s_lc.fits,0.012048192771084376
5640288,tess2018234235059-s0002-0000000005640288-0121-s_lc.fits,0.0
5640393,tess2018234235059-s0002-0000000005640393-0121-s_lc.fits,0.16265060240963858
5640851,tess2018234235059-s0002-0000000005640851-0121-s_lc.fits,0.0
5641144,tess2018234235059-s0002-0000000005641144-0121-s_lc.fits,0.0
5641447,tess2018234235059-s0002-0000000005641447-0121-s_lc.fits,0.0
5641821,tess2018234235059-s0002-0000000005641821-0121-s_lc.fits,0.06024096385542166
5641875,tess2018234235059-s0002-0000000005641875-0121-s_lc.fits,0.0
5642039,tess2018234235059-s0002-0000000005642039-0121-s_lc.fits,0.04216867469879515
5642268,tess2018234235059-s0002-0000000005642268-0121-s_lc.fits,0.07831325301204817
5642563,tess2018234235059-s0002-0000000005642563-0121-s_lc.fits,0.012048192771084376
5654308,tess2018234235059-s0002-0000000005654308-0121-s_lc.fits,0.0
5655899,tess2018234235059-s0002-0000000005655899-0121-s_lc.fits,0.02409638554216864
5655357,tess2018234235059-s0002-0000000005655357-0121-s_lc.fits,0.012048192771084376
5655983,tess2018234235059-s0002-0000000005655983-0121-s_lc.fits,0.010040160642570184
5656032,tess2018234235059-s0002-0000000005656032-0121-s_lc.fits,0.0
5656272,tess2018234235059-s0002-0000000005656272-0121-s_lc.fits,0.0
5656117,tess2018234235059-s0002-0000000005656117-0121-s_lc.fits,0.0
5656273,tess2018234235059-s0002-0000000005656273-0121-s_lc.fits,0.11847389558232924
5676236,tess2018234235059-s0002-0000000005676236-0121-s_lc.fits,0.0060240963855421326
5676346,tess2018234235059-s0002-0000000005676346-0121-s_lc.fits,0.02409638554216864
5676537,tess2018234235059-s0002-0000000005676537-0121-s_lc.fits,0.0
5676751,tess2018234235059-s0002-0000000005676751-0121-s_lc.fits,0.0
5716512,tess2018234235059-s0002-0000000005716512-0121-s_lc.fits,0.01807228915662651
5716629,tess2018234235059-s0002-0000000005716629-0121-s_lc.fits,0.01606425702811254
5716636,tess2018234235059-s0002-0000000005716636-0121-s_lc.fits,0.008032128514056325
5717295,tess2018234235059-s0002-0000000005717295-0121-s_lc.fits,0.0
5717323,tess2018234235059-s0002-0000000005717323-0121-s_lc.fits,0.1325301204819277
5717524,tess2018234235059-s0002-0000000005717524-0121-s_lc.fits,0.012048192771084376
5717594,tess2018234235059-s0002-0000000005717594-0121-s_lc.fits,0.06827309236947776
5717600,tess2018234235059-s0002-0000000005717600-0121-s_lc.fits,0.012048192771084376
5717915,tess2018234235059-s0002-0000000005717915-0121-s_lc.fits,0.02008032128514048
5719355,tess2018234235059-s0002-0000000005719355-0121-s_lc.fits,0.06024096385542166
5719757,tess2018234235059-s0002-0000000005719757-0121-s_lc.fits,0.18674698795180722
5724548,tess2018234235059-s0002-0000000005724548-0121-s_lc.fits,0.03614457831325302
5724922,tess2018234235059-s0002-0000000005724922-0121-s_lc.fits,0.0
5725640,tess2018234235059-s0002-0000000005725640-0121-s_lc.fits,0.0
5725649,tess2018234235059-s0002-0000000005725649-0121-s_lc.fits,0.0
5725904,tess2018234235059-s0002-0000000005725904-0121-s_lc.fits,0.02409638554216864
5726510,tess2018234235059-s0002-0000000005726510-0121-s_lc.fits,0.0
5726723,tess2018234235059-s0002-0000000005726723-0121-s_lc.fits,0.012048192771084376
5726857,tess2018234235059-s0002-0000000005726857-0121-s_lc.fits,0.0
5727070,tess2018234235059-s0002-0000000005727070-0121-s_lc.fits,0.0
5727198,tess2018234235059-s0002-0000000005727198-0121-s_lc.fits,0.1606425702811246
5727213,tess2018234235059-s0002-0000000005727213-0121-s_lc.fits,0.13453815261044166
5727284,tess2018234235059-s0002-0000000005727284-0121-s_lc.fits,0.0
5727442,tess2018234235059-s0002-0000000005727442-0121-s_lc.fits,0.0
5727479,tess2018234235059-s0002-0000000005727479-0121-s_lc.fits,0.012048192771084376
5738739,tess2018234235059-s0002-0000000005738739-0121-s_lc.fits,0.03614457831325302
5739098,tess2018234235059-s0002-0000000005739098-0121-s_lc.fits,0.03614457831325302
5740214,tess2018234235059-s0002-0000000005740214-0121-s_lc.fits,0.0
5740408,tess2018234235059-s0002-0000000005740408-0121-s_lc.fits,0.0
5740409,tess2018234235059-s0002-0000000005740409-0121-s_lc.fits,0.0
5741295,tess2018234235059-s0002-0000000005741295-0121-s_lc.fits,0.012048192771084376
5774802,tess2018234235059-s0002-0000000005774802-0121-s_lc.fits,0.0
None,tess2018234235059-s0002-0000000005775131-0121-s_lc.fits,None
5774880,tess2018234235059-s0002-0000000005774880-0121-s_lc.fits,0.10240963855421692
5774939,tess2018234235059-s0002-0000000005774939-0121-s_lc.fits,0.030120481927710885
5776219,tess2018234235059-s0002-0000000005776219-0121-s_lc.fits,0.0
5777865,tess2018234235059-s0002-0000000005777865-0121-s_lc.fits,0.09839357429718865
5777935,tess2018234235059-s0002-0000000005777935-0121-s_lc.fits,0.008032128514056103
5795287,tess2018234235059-s0002-0000000005795287-0121-s_lc.fits,0.01807228915662651
5795305,tess2018234235059-s0002-0000000005795305-0121-s_lc.fits,0.12851405622489953
5795576,tess2018234235059-s0002-0000000005795576-0121-s_lc.fits,0.0
5796048,tess2018234235059-s0002-0000000005796048-0121-s_lc.fits,0.12449799196787159
5796211,tess2018234235059-s0002-0000000005796211-0121-s_lc.fits,0.03413654618473905
5796235,tess2018234235059-s0002-0000000005796235-0121-s_lc.fits,0.11044176706827313
5796490,tess2018234235059-s0002-0000000005796490-0121-s_lc.fits,0.012048192771084376
