tic,filename,anomaly_score
2760102,tess2018234235059-s0002-0000000002760102-0121-s_lc.fits,0.020000000000000018
2758962,tess2018234235059-s0002-0000000002758962-0121-s_lc.fits,0.010000000000000009
2761911,tess2018234235059-s0002-0000000002761911-0121-s_lc.fits,0.0
2835941,tess2018234235059-s0002-0000000002835941-0121-s_lc.fits,0.15666666666666673
5611236,tess2018234235059-s0002-0000000005611236-0121-s_lc.fits,0.00666666666666671
2836713,tess2018234235059-s0002-0000000002836713-0121-s_lc.fits,0.013333333333333308
5632654,tess2018234235059-s0002-0000000005632654-0121-s_lc.fits,0.00666666666666671
5632856,tess2018234235059-s0002-0000000005632856-0121-s_lc.fits,0.10444444444444434
5640393,tess2018234235059-s0002-0000000005640393-0121-s_lc.fits,0.12444444444444458
5634073,tess2018234235059-s0002-0000000005634073-0121-s_lc.fits,0.004444444444444584
5633132,tess2018234235059-s0002-0000000005633132-0121-s_lc.fits,0.0722222222222223
5639386,tess2018234235059-s0002-0000000005639386-0121-s_lc.fits,0.013333333333333308
5641144,tess2018234235059-s0002-0000000005641144-0121-s_lc.fits,0.00666666666666671
5717600,tess2018234235059-s0002-0000000005717600-0121-s_lc.fits,0.008888888888888724
5717915,tess2018234235059-s0002-0000000005717915-0121-s_lc.fits,0.0033333333333332993
5719355,tess2018234235059-s0002-0000000005719355-0121-s_lc.fits,0.08666666666666667
5725640,tess2018234235059-s0002-0000000005725640-0121-s_lc.fits,0.0
5727442,tess2018234235059-s0002-0000000005727442-0121-s_lc.fits,0.0033333333333332993
5727070,tess2018234235059-s0002-0000000005727070-0121-s_lc.fits,0.01777777777777767
5740214,tess2018234235059-s0002-0000000005740214-0121-s_lc.fits,0.00666666666666671
5774802,tess2018234235059-s0002-0000000005774802-0121-s_lc.fits,0.0
5774939,tess2018234235059-s0002-0000000005774939-0121-s_lc.fits,0.022222222222222143
5775131,tess2018234235059-s0002-0000000005775131-0121-s_lc.fits,0.00666666666666671
5795576,tess2018234235059-s0002-0000000005795576-0121-s_lc.fits,0.00666666666666671
7129031,tess2018234235059-s0002-0000000007129031-0121-s_lc.fits,0.0477777777777777
7143936,tess2018234235059-s0002-0000000007143936-0121-s_lc.fits,0.0
7129788,tess2018234235059-s0002-0000000007129788-0121-s_lc.fits,0.0033333333333332993
7129680,tess2018234235059-s0002-0000000007129680-0121-s_lc.fits,0.00666666666666671
7144448,tess2018234235059-s0002-0000000007144448-0121-s_lc.fits,0.03555555555555545
7149813,tess2018234235059-s0002-0000000007149813-0121-s_lc.fits,0.0
7149631,tess2018234235059-s0002-0000000007149631-0121-s_lc.fits,0.0033333333333332993
7150142,tess2018234235059-s0002-0000000007150142-0121-s_lc.fits,0.0
7150559,tess2018234235059-s0002-0000000007150559-0121-s_lc.fits,0.0444444444444444
7150965,tess2018234235059-s0002-0000000007150965-0121-s_lc.fits,0.020000000000000018
7150628,tess2018234235059-s0002-0000000007150628-0121-s_lc.fits,0.00666666666666671
7152046,tess2018234235059-s0002-0000000007152046-0121-s_lc.fits,0.0022222222222222365
7187146,tess2018234235059-s0002-0000000007187146-0121-s_lc.fits,0.068888888888889
8962060,tess2018234235059-s0002-0000000008962060-0121-s_lc.fits,0.0033333333333332993
8989706,tess2018234235059-s0002-0000000008989706-0121-s_lc.fits,0.13888888888888873
8961898,tess2018234235059-s0002-0000000008961898-0121-s_lc.fits,0.00666666666666671
8991030,tess2018234235059-s0002-0000000008991030-0121-s_lc.fits,0.028888888888888742
8997205,tess2018234235059-s0002-0000000008997205-0121-s_lc.fits,0.12222222222222212
9005699,tess2018234235059-s0002-0000000009005699-0121-s_lc.fits,0.0
8995067,tess2018234235059-s0002-0000000008995067-0121-s_lc.fits,0.1444444444444446
9006668,tess2018234235059-s0002-0000000009006668-0121-s_lc.fits,0.0022222222222221255
9008081,tess2018234235059-s0002-0000000009008081-0121-s_lc.fits,0.0
9009429,tess2018234235059-s0002-0000000009009429-0121-s_lc.fits,0.040000000000000036
9029542,tess2018234235059-s0002-0000000009029542-0121-s_lc.fits,0.0
9035878,tess2018234235059-s0002-0000000009035878-0121-s_lc.fits,0.0
9051707,tess2018234235059-s0002-0000000009051707-0121-s_lc.fits,0.0
9056201,tess2018234235059-s0002-0000000009056201-0121-s_lc.fits,0.08555555555555538
9062300,tess2018234235059-s0002-0000000009062300-0121-s_lc.fits,0.00666666666666671
9062412,tess2018234235059-s0002-0000000009062412-0121-s_lc.fits,0.00666666666666671
9063235,tess2018234235059-s0002-0000000009063235-0121-s_lc.fits,0.0
9070070,tess2018234235059-s0002-0000000009070070-0121-s_lc.fits,0.1055555555555554
9070179,tess2018234235059-s0002-0000000009070179-0121-s_lc.fits,0.022222222222222143
9072094,tess2018234235059-s0002-0000000009072094-0121-s_lc.fits,0.013333333333333308
9072592,tess2018234235059-s0002-0000000009072592-0121-s_lc.fits,0.0
9097301,tess2018234235059-s0002-0000000009097301-0121-s_lc.fits,0.004444444444444362
9101140,tess2018234235059-s0002-0000000009101140-0121-s_lc.fits,0.013333333333333308
9158832,tess2018234235059-s0002-0000000009158832-0121-s_lc.fits,0.00666666666666671
9102812,tess2018234235059-s0002-0000000009102812-0121-s_lc.fits,0.022222222222222143
9166565,tess2018234235059-s0002-0000000009166565-0121-s_lc.fits,0.15888888888888897
9177881,tess2018234235059-s0002-0000000009177881-0121-s_lc.fits,0.09999999999999998
9178575,tess2018234235059-s0002-0000000009178575-0121-s_lc.fits,0.013333333333333308
9209932,tess2018234235059-s0002-0000000009209932-0121-s_lc.fits,0.03777777777777791
9211153,tess2018234235059-s0002-0000000009211153-0121-s_lc.fits,0.00666666666666671
