variant,threshold_percent,n_top_n,n_tois_total,n_tois_flagged,toi_recall,anomaly_rate
urf4_model_variant_n300_d27_c10_n100ppm_anomaly_scores_sector_2,70,2800,49,39,0.7959183673469388,0.7
urf4_model_variant_n300_d27_c10_n100ppm_anomaly_scores_sector_2,80,3200,49,40,0.8163265306122449,0.8
urf4_model_variant_n300_d27_c10_n100ppm_anomaly_scores_sector_2,90,3600,49,42,0.8571428571428571,0.9
urf4_model_variant_n300_d27_c10_n100ppm_anomaly_scores_sector_2,100,4000,49,49,1.0,1.0
urf4_model_variant_n300_d27_c10_n200ppm_anomaly_scores_sector_2,5,200,49,10,0.20408163265306123,0.05
urf4_model_variant_n300_d27_c10_n200ppm_anomaly_scores_sector_2,10,400,49,12,0.24489795918367346,0.1
urf4_model_variant_n300_d27_c10_n200ppm_anomaly_scores_sector_2,20,800,49,15,0.30612244897959184,0.2
urf4_model_variant_n300_d27_c10_n200ppm_anomaly_scores_sector_2,30,1200,49,23,0.46938775510204084,0.3
urf4_model_variant_n300_d27_c10_n200ppm_anomaly_scores_sector_2,40,1600,49,27,0.5510204081632653,0.4
urf4_model_variant_n300_d27_c10_n200ppm_anomaly_scores_sector_2,50,2000,49,31,0.6326530612244898,0.5
urf4_model_variant_n300_d27_c10_n200ppm_anomaly_scores_sector_2,60,2400,49,33,0.673469387755102,0.6
urf4_model_variant_n300_d27_c10_n200ppm_anomaly_scores_sector_2,70,2800,49,39,0.7959183673469388,0.7
urf4_model_variant_n300_d27_c10_n200ppm_anomaly_scores_sector_2,80,3200,49,42,0.8571428571428571,0.8
urf4_model_variant_n300_d27_c10_n200ppm_anomaly_scores_sector_2,90,3600,49,42,0.8571428571428571,0.9
urf4_model_variant_n300_d27_c10_n200ppm_anomaly_scores_sector_2,100,4000,49,49,1.0,1.0
urf4_model_variant_n300_d27_c10_n50ppm_anomaly_scores_sector_2,5,200,49,10,0.20408163265306123,0.05
urf4_model_variant_n300_d27_c10_n50ppm_anomaly_scores_sector_2,10,400,49,10,0.20408163265306123,0.1
urf4_model_variant_n300_d27_c10_n50ppm_anomaly_scores_sector_2,20,800,49,15,0.30612244897959184,0.2
urf4_model_variant_n300_d27_c10_n50ppm_anomaly_scores_sector_2,30,1200,49,22,0.4489795918367347,0.3
urf4_model_variant_n300_d27_c10_n50ppm_anomaly_scores_sector_2,40,1600,49,25,0.5102040816326531,0.4
urf4_model_variant_n300_d27_c10_n50ppm_anomaly_scores_sector_2,50,2000,49,32,0.6530612244897959,0.5
urf4_model_variant_n300_d27_c10_n50ppm_anomaly_scores_sector_2,60,2400,49,34,0.6938775510204082,0.6
urf4_model_variant_n300_d27_c10_n50ppm_anomaly_scores_sector_2,70,2800,49,35,0.7142857142857143,0.7
urf4_model_variant_n300_d27_c10_n50ppm_anomaly_scores_sector_2,80,3200,49,42,0.8571428571428571,0.8
urf4_model_variant_n300_d27_c10_n50ppm_anomaly_scores_sector_2,90,3600,49,45,0.9183673469387755,0.9
urf4_model_variant_n300_d27_c10_n50ppm_anomaly_scores_sector_2,100,4000,49,49,1.0,1.0
urf4_model_variant_n300_d27_c2_n100ppm_anomaly_scores_sector_2,5,200,49,10,0.20408163265306123,0.05
urf4_model_variant_n300_d27_c2_n100ppm_anomaly_scores_sector_2,10,400,49,10,0.20408163265306123,0.1
urf4_model_variant_n300_d27_c2_n100ppm_anomaly_scores_sector_2,20,800,49,17,0.3469387755102041,0.2
urf4_model_variant_n300_d27_c2_n100ppm_anomaly_scores_sector_2,30,1200,49,21,0.42857142857142855,0.3
urf4_model_variant_n300_d27_c2_n100ppm_anomaly_scores_sector_2,40,1600,49,24,0.4897959183673469,0.4
urf4_model_variant_n300_d27_c2_n100ppm_anomaly_scores_sector_2,50,2000,49,29,0.5918367346938775,0.5
urf4_model_variant_n300_d27_c2_n100ppm_anomaly_scores_sector_2,60,2400,49,29,0.5918367346938775,0.6
urf4_model_variant_n300_d27_c2_n100ppm_anomaly_scores_sector_2,70,2800,49,36,0.7346938775510204,0.7
urf4_model_variant_n300_d27_c2_n100ppm_anomaly_scores_sector_2,80,3200,49,38,0.7755102040816326,0.8
urf4_model_variant_n300_d27_c2_n100ppm_anomaly_scores_sector_2,90,3600,49,44,0.8979591836734694,0.9
urf4_model_variant_n300_d27_c2_n100ppm_anomaly_scores_sector_2,100,4000,49,49,1.0,1.0
urf4_model_variant_n300_d27_c2_n200ppm_anomaly_scores_sector_2,5,200,49,10,0.20408163265306123,0.05
urf4_model_variant_n300_d27_c2_n200ppm_anomaly_scores_sector_2,10,400,49,12,0.24489795918367346,0.1
urf4_model_variant_n300_d27_c2_n200ppm_anomaly_scores_sector_2,20,800,49,17,0.3469387755102041,0.2
urf4_model_variant_n300_d27_c2_n200ppm_anomaly_scores_sector_2,30,1200,49,23,0.46938775510204084,0.3
urf4_model_variant_n300_d27_c2_n200ppm_anomaly_scores_sector_2,40,1600,49,28,0.5714285714285714,0.4
urf4_model_variant_n300_d27_c2_n200ppm_anomaly_scores_sector_2,50,2000,49,32,0.6530612244897959,0.5
urf4_model_variant_n300_d27_c2_n200ppm_anomaly_scores_sector_2,60,2400,49,34,0.6938775510204082,0.6
urf4_model_variant_n300_d27_c2_n200ppm_anomaly_scores_sector_2,70,2800,49,39,0.7959183673469388,0.7
urf4_model_variant_n300_d27_c2_n200ppm_anomaly_scores_sector_2,80,3200,49,44,0.8979591836734694,0.8
urf4_model_variant_n300_d27_c2_n200ppm_anomaly_scores_sector_2,90,3600,49,46,0.9387755102040817,0.9
urf4_model_variant_n300_d27_c2_n200ppm_anomaly_scores_sector_2,100,4000,49,49,1.0,1.0
urf4_model_variant_n300_d27_c2_n50ppm_anomaly_scores_sector_2,5,200,49,10,0.20408163265306123,0.05
urf4_model_variant_n300_d27_c2_n50ppm_anomaly_scores_sector_2,10,400,49,11,0.22448979591836735,0.1
urf4_model_variant_n300_d27_c2_n50ppm_anomaly_scores_sector_2,20,800,49,15,0.30612244897959184,0.2
urf4_model_variant_n300_d27_c2_n50ppm_anomaly_scores_sector_2,30,1200,49,22,0.4489795918367347,0.3
urf4_model_variant_n300_d27_c2_n50ppm_anomaly_scores_sector_2,40,1600,49,26,0.5306122448979592,0.4
urf4_model_variant_n300_d27_c2_n50ppm_anomaly_scores_sector_2,50,2000,49,30,0.6122448979591837,0.5
urf4_model_variant_n300_d27_c2_n50ppm_anomaly_scores_sector_2,60,2400,49,36,0.7346938775510204,0.6
urf4_model_variant_n300_d27_c2_n50ppm_anomaly_scores_sector_2,70,2800,49,38,0.7755102040816326,0.7
urf4_model_variant_n300_d27_c2_n50ppm_anomaly_scores_sector_2,80,3200,49,42,0.8571428571428571,0.8
urf4_model_variant_n300_d27_c2_n50ppm_anomaly_scores_sector_2,90,3600,49,43,0.8775510204081632,0.9
urf4_model_variant_n300_d27_c2_n50ppm_anomaly_scores_sector_2,100,4000,49,49,1.0,1.0
