variant,threshold_percent,n_tois_flagged,avg_normalized_importance,max_normalized_importance
urf4_model_variant_n100_d13_c2_n50ppm_anomaly_scores_sector_2,20,12,0.2618898188458113,1.0
urf4_model_variant_n100_d13_c2_n50ppm_anomaly_scores_sector_2,30,18,0.17570653904334133,1.0
urf4_model_variant_n100_d13_c2_n50ppm_anomaly_scores_sector_2,40,20,0.15841103470351278,1.0
urf4_model_variant_n100_d13_c2_n50ppm_anomaly_scores_sector_2,50,24,0.1320806770113981,1.0
urf4_model_variant_n100_d13_c2_n50ppm_anomaly_scores_sector_2,60,25,0.1319578626012915,1.0
urf4_model_variant_n100_d13_c2_n50ppm_anomaly_scores_sector_2,70,30,0.11037981548138562,1.0
urf4_model_variant_n100_d13_c2_n50ppm_anomaly_scores_sector_2,80,35,0.09714620440892302,1.0
urf4_model_variant_n100_d13_c2_n50ppm_anomaly_scores_sector_2,90,39,0.08728345175095854,1.0
urf4_model_variant_n100_d13_c2_n50ppm_anomaly_scores_sector_2,100,49,0.0700966635218851,1.0
urf4_model_variant_n100_d27_c10_n100ppm_anomaly_scores_sector_2,10,11,0.21204995468763396,1.0
urf4_model_variant_n100_d27_c10_n100ppm_anomaly_scores_sector_2,20,15,0.20956152030593167,1.0
urf4_model_variant_n100_d27_c10_n100ppm_anomaly_scores_sector_2,30,21,0.1547545725768551,1.0
urf4_model_variant_n100_d27_c10_n100ppm_anomaly_scores_sector_2,40,25,0.13136201689845767,1.0
urf4_model_variant_n100_d27_c10_n100ppm_anomaly_scores_sector_2,50,30,0.1140968782358892,1.0
urf4_model_variant_n100_d27_c10_n100ppm_anomaly_scores_sector_2,60,33,0.10381845274608817,1.0
urf4_model_variant_n100_d27_c10_n100ppm_anomaly_scores_sector_2,70,35,0.09792714331546692,1.0
urf4_model_variant_n100_d27_c10_n100ppm_anomaly_scores_sector_2,80,40,0.08572960117494663,1.0
urf4_model_variant_n100_d27_c10_n100ppm_anomaly_scores_sector_2,90,43,0.07984173310033409,1.0
urf4_model_variant_n100_d27_c10_n100ppm_anomaly_scores_sector_2,100,49,0.0700966635218851,1.0
urf4_model_variant_n100_d27_c10_n200ppm_anomaly_scores_sector_2,10,10,0.2332496924825898,1.0
urf4_model_variant_n100_d27_c10_n200ppm_anomaly_scores_sector_2,20,16,0.19647049534727024,1.0
urf4_model_variant_n100_d27_c10_n200ppm_anomaly_scores_sector_2,30,21,0.15473746142110678,1.0
urf4_model_variant_n100_d27_c10_n200ppm_anomaly_scores_sector_2,40,24,0.13542452329762156,1.0
urf4_model_variant_n100_d27_c10_n200ppm_anomaly_scores_sector_2,50,30,0.10873534529582032,1.0
urf4_model_variant_n100_d27_c10_n200ppm_anomaly_scores_sector_2,60,35,0.09333199424438687,1.0
urf4_model_variant_n100_d27_c10_n200ppm_anomaly_scores_sector_2,70,40,0.0824588709291726,1.0
urf4_model_variant_n100_d27_c10_n200ppm_anomaly_scores_sector_2,80,44,0.07506388483081194,1.0
urf4_model_variant_n100_d27_c10_n200ppm_anomaly_scores_sector_2,90,47,0.0730731512406813,1.0
urf4_model_variant_n100_d27_c10_n200ppm_anomaly_scores_sector_2,100,49,0.07009666352188511,1.0
urf4_model_variant_n100_d27_c10_n50ppm_anomaly_scores_sector_2,10,11,0.28567453917215574,1.0
urf4_model_variant_n100_d27_c10_n50ppm_anomaly_scores_sector_2,20,15,0.20954564944112247,1.0
urf4_model_variant_n100_d27_c10_n50ppm_anomaly_scores_sector_2,30,20,0.15720333603393732,1.0
urf4_model_variant_n100_d27_c10_n50ppm_anomaly_scores_sector_2,40,25,0.12769887820025932,1.0
urf4_model_variant_n100_d27_c10_n50ppm_anomaly_scores_sector_2,50,31,0.11009070824239228,1.0
urf4_model_variant_n100_d27_c10_n50ppm_anomaly_scores_sector_2,60,33,0.1035046327595302,1.0
