,filename,matched_label,label_group,similarity_score
0,tess2018263035959-s0003-0000000423358837-0123-s_lc.fits,outlier,outlier,0.40511694482781213
1,tess2018263035959-s0003-0000000219254102-0123-s_lc.fits,Pl,planet_like,0.9289938998338908
2,tess2018263035959-s0003-0000000279322448-0123-s_lc.fits,outlier,outlier,0.3634425387918424
3,tess2018263035959-s0003-0000000349767833-0123-s_lc.fits,outlier,outlier,0.38860411131055494
4,tess2018263035959-s0003-0000000142274464-0123-s_lc.fits,*,stellar,0.7887787200829176
5,tess2018263035959-s0003-0000000152504113-0123-s_lc.fits,outlier,outlier,0.36785448144462485
6,tess2018263035959-s0003-0000000020926643-0123-s_lc.fits,outlier,outlier,0.3767259978715899
7,tess2018263035959-s0003-0000000152470904-0123-s_lc.fits,PM*,stellar,0.7240298437964704
8,tess2018263035959-s0003-0000000123271408-0123-s_lc.fits,outlier,outlier,0.34638645776835075
9,tess2018263035959-s0003-0000000326205824-0123-s_lc.fits,outlier,outlier,0.3872107710917141
10,tess2018263035959-s0003-0000000300039094-0123-s_lc.fits,outlier,outlier,0.3813829706559053
11,tess2018263035959-s0003-0000000043373737-0123-s_lc.fits,outlier,outlier,0.4113928182547737
12,tess2018263035959-s0003-0000000197847859-0123-s_lc.fits,outlier,outlier,0.32783029904642336
13,tess2018263035959-s0003-0000000401837844-0123-s_lc.fits,*,stellar,0.8282010963155886
14,tess2018263035959-s0003-0000000150323334-0123-s_lc.fits,outlier,outlier,0.35167447420520304
15,tess2018263035959-s0003-0000000177308367-0123-s_lc.fits,PM*,stellar,0.8808303641898334
16,tess2018263035959-s0003-0000000408083407-0123-s_lc.fits,Pl,planet_like,0.9057258391082431
17,tess2018263035959-s0003-0000000152318517-0123-s_lc.fits,outlier,outlier,0.34898836660241406
18,tess2018263035959-s0003-0000000167338863-0123-s_lc.fits,outlier,outlier,0.3765715481506263
19,tess2018263035959-s0003-0000000219234065-0123-s_lc.fits,outlier,outlier,0.36448063135889364
20,tess2018263035959-s0003-0000000029929597-0123-s_lc.fits,outlier,outlier,0.3186107045798457
21,tess2018263035959-s0003-0000000309615189-0123-s_lc.fits,outlier,outlier,0.4412468711653772
22,tess2018263035959-s0003-0000000032001057-0123-s_lc.fits,*,stellar,0.9002624384680032
23,tess2018263035959-s0003-0000000396697136-0123-s_lc.fits,outlier,outlier,0.5431845180205129
24,tess2018263035959-s0003-0000000471012303-0123-s_lc.fits,outlier,outlier,0.48937560962301685
25,tess2018263035959-s0003-0000000423386354-0123-s_lc.fits,outlier,outlier,0.4666696605829913
26,tess2018263035959-s0003-0000000149059950-0123-s_lc.fits,outlier,outlier,0.34822057554400504
27,tess2018263035959-s0003-0000000003888550-0123-s_lc.fits,PM*,stellar,0.7849639382220839
28,tess2018263035959-s0003-0000000220563149-0123-s_lc.fits,err,outlier,0.6209299599387994
29,tess2018263035959-s0003-0000000011650529-0123-s_lc.fits,outlier,outlier,0.4785025783544435
30,tess2018263035959-s0003-0000000031796729-0123-s_lc.fits,outlier,outlier,0.3338078403160363
31,tess2018263035959-s0003-0000000280040060-0123-s_lc.fits,outlier,outlier,0.5166109748156436
32,tess2018263035959-s0003-0000000091543055-0123-s_lc.fits,outlier,outlier,0.358263949659408
33,tess2018263035959-s0003-0000000152288814-0123-s_lc.fits,outlier,outlier,0.5228711778806233
34,tess2018263035959-s0003-0000000321011736-0123-s_lc.fits,Pl?,planet_like,0.8035474989661576
35,tess2018263035959-s0003-0000000293166471-0123-s_lc.fits,PM*,stellar,0.6898700478589609
36,tess2018263035959-s0003-0000000033591305-0123-s_lc.fits,PM*,stellar,0.9291175014206041
37,tess2018263035959-s0003-0000000138713301-0123-s_lc.fits,outlier,outlier,0.5058287368740232
38,tess2018263035959-s0003-0000000040343782-0123-s_lc.fits,*,stellar,0.9334920161291882
39,tess2018263035959-s0003-0000000237935160-0123-s_lc.fits,outlier,outlier,0.36649278984273953
40,tess2018263035959-s0003-0000000065418092-0123-s_lc.fits,PM*,stellar,0.6528451864547085
41,tess2018263035959-s0003-0000000257420560-0123-s_lc.fits,outlier,outlier,0.28794090464293964
42,tess2018263035959-s0003-0000000141943941-0123-s_lc.fits,Pl?,planet_like,0.853014033943366
43,tess2018263035959-s0003-0000000166680126-0123-s_lc.fits,PM*,stellar,0.630141775940119
44,tess2018263035959-s0003-0000000219251369-0123-s_lc.fits,PM*,stellar,0.7196191707577417
45,tess2018263035959-s0003-0000000300010961-0123-s_lc.fits,outlier,outlier,0.48417651437939896
46,tess2018263035959-s0003-0000000152963935-0123-s_lc.fits,outlier,outlier,0.37218259464270176
47,tess2018263035959-s0003-0000000220396004-0123-s_lc.fits,outlier,outlier,0.530034670010949
48,tess2018263035959-s0003-0000000271697774-0123-s_lc.fits,outlier,outlier,0.29645141225437094
49,tess2018263035959-s0003-0000000142305549-0123-s_lc.fits,outlier,outlier,0.42764295888830167
50,tess2018263035959-s0003-0000000184729372-0123-s_lc.fits,outlier,outlier,0.43594979040376797
51,tess2018263035959-s0003-0000000032397921-0123-s_lc.fits,outlier,outlier,0.4432705763912228
52,tess2018263035959-s0003-0000000146727399-0123-s_lc.fits,outlier,outlier,0.4136201403350468
53,tess2018263035959-s0003-0000000439499498-0123-s_lc.fits,*,stellar,0.6156227197099092
54,tess2018263035959-s0003-0000000287405060-0123-s_lc.fits,*,stellar,0.7214395846441121
55,tess2018263035959-s0003-0000000369604539-0123-s_lc.fits,outlier,outlier,0.5586566173459331
56,tess2018263035959-s0003-0000000229154644-0123-s_lc.fits,outlier,outlier,0.5435301966381902
57,tess2018263035959-s0003-0000000229118094-0123-s_lc.fits,*,stellar,0.7227430370862763
58,tess2018263035959-s0003-0000000003963507-0123-s_lc.fits,outlier,outlier,0.5018747013696768
59,tess2018263035959-s0003-0000000241486051-0123-s_lc.fits,outlier,outlier,0.5312813654094047
60,tess2018263035959-s0003-0000000349274787-0123-s_lc.fits,err,outlier,0.7851294086023809
61,tess2018263035959-s0003-0000000038460465-0123-s_lc.fits,outlier,outlier,0.30865817909980786
62,tess2018263035959-s0003-0000000382246401-0123-s_lc.fits,outlier,outlier,0.5674911224130904
63,tess2018263035959-s0003-0000000141624979-0123-s_lc.fits,PM*,stellar,0.8851489419913239
64,tess2018263035959-s0003-0000000164790923-0123-s_lc.fits,outlier,outlier,0.2866139466534887
65,tess2018263035959-s0003-0000000150141898-0123-s_lc.fits,outlier,outlier,0.4105027798062336
66,tess2018263035959-s0003-0000000201856148-0123-s_lc.fits,outlier,outlier,0.5568269732181163
67,tess2018263035959-s0003-0000000423618291-0123-s_lc.fits,outlier,outlier,0.40337234301019675
68,tess2018263035959-s0003-0000000031925242-0123-s_lc.fits,outlier,outlier,0.3545969440570428
69,tess2018263035959-s0003-0000000349642732-0123-s_lc.fits,outlier,outlier,0.3778299412291799
70,tess2018263035959-s0003-0000000231286960-0123-s_lc.fits,Pl,planet_like,0.8612112055578904
71,tess2018263035959-s0003-0000000025132265-0123-s_lc.fits,err,outlier,0.7627620236217767
72,tess2018263035959-s0003-0000000279739460-0123-s_lc.fits,Pl,planet_like,0.8513164324181325
73,tess2018263035959-s0003-0000000176955267-0123-s_lc.fits,Pl,planet_like,0.7199523441242378
74,tess2018263035959-s0003-0000000207205231-0123-s_lc.fits,err,outlier,0.7948115186916254
75,tess2018263035959-s0003-0000000300292124-0123-s_lc.fits,outlier,outlier,0.42355440227745367
76,tess2018263035959-s0003-0000000268588190-0123-s_lc.fits,outlier,outlier,0.4373640139655143
77,tess2018263035959-s0003-0000000067629576-0123-s_lc.fits,Pl,planet_like,0.7315592013533223
78,tess2018263035959-s0003-0000000147459238-0123-s_lc.fits,outlier,outlier,0.42611987350645575
79,tess2018263035959-s0003-0000000149913598-0123-s_lc.fits,outlier,outlier,0.4079941703133136
80,tess2018263035959-s0003-0000000293166656-0123-s_lc.fits,outlier,outlier,0.29579517726590726
81,tess2018263035959-s0003-0000000287174172-0123-s_lc.fits,outlier,outlier,0.5251423649063083
82,tess2018263035959-s0003-0000000399722928-0123-s_lc.fits,outlier,outlier,0.46489400001426273
83,tess2018263035959-s0003-0000000349374677-0123-s_lc.fits,outlier,outlier,0.36638020008760386
84,tess2018263035959-s0003-0000000248983585-0123-s_lc.fits,err,outlier,0.7479032518928839
85,tess2018263035959-s0003-0000000259886924-0123-s_lc.fits,err,outlier,0.9070710536812331
86,tess2018263035959-s0003-0000000340793770-0123-s_lc.fits,*,stellar,0.7250827024355451
87,tess2018263035959-s0003-0000000041229386-0123-s_lc.fits,outlier,outlier,0.3821285497346264
88,tess2018263035959-s0003-0000000219256496-0123-s_lc.fits,*,stellar,0.6993647048645677
89,tess2018263035959-s0003-0000000201791365-0123-s_lc.fits,outlier,outlier,0.5436375470890237
90,tess2018263035959-s0003-0000000122609788-0123-s_lc.fits,PM*,stellar,0.7600233060057869
91,tess2018263035959-s0003-0000000260502102-0123-s_lc.fits,*,stellar,0.6422174841909387
92,tess2018263035959-s0003-0000000262575612-0123-s_lc.fits,Pl?,planet_like,0.6423529878206934
93,tess2018263035959-s0003-0000000055745925-0123-s_lc.fits,*,stellar,0.6861231314755979
94,tess2018263035959-s0003-0000000396694790-0123-s_lc.fits,PM*,stellar,0.8666477623725701
95,tess2018263035959-s0003-0000000197807894-0123-s_lc.fits,outlier,outlier,0.42441541052762066
96,tess2018263035959-s0003-0000000293220616-0123-s_lc.fits,outlier,outlier,0.4392894457677249
97,tess2018263035959-s0003-0000000063786608-0123-s_lc.fits,PM*,stellar,0.9254323063473657
98,tess2018263035959-s0003-0000000294093824-0123-s_lc.fits,outlier,outlier,0.570447364327568
99,tess2018263035959-s0003-0000000220522527-0123-s_lc.fits,outlier,outlier,0.2936805351877454
100,tess2018263035959-s0003-0000000231744905-0123-s_lc.fits,outlier,outlier,0.37185439606052967
101,tess2018263035959-s0003-0000000032307206-0123-s_lc.fits,outlier,outlier,0.36554833340338977
102,tess2018263035959-s0003-0000000147470159-0123-s_lc.fits,PM*,stellar,0.8191482496913263
103,tess2018263035959-s0003-0000000149101411-0123-s_lc.fits,outlier,outlier,0.3848021182699119
104,tess2018263035959-s0003-0000000219225068-0123-s_lc.fits,outlier,outlier,0.5434768398932863
105,tess2018263035959-s0003-0000000038585033-0123-s_lc.fits,outlier,outlier,0.4917889187856156
106,tess2018263035959-s0003-0000000271811957-0123-s_lc.fits,PM*,stellar,0.9427188045319237
107,tess2018263035959-s0003-0000000038601999-0123-s_lc.fits,outlier,outlier,0.5210906069324653
108,tess2018263035959-s0003-0000000260352274-0123-s_lc.fits,outlier,outlier,0.4594528875237936
109,tess2018263035959-s0003-0000000165901747-0123-s_lc.fits,outlier,outlier,0.5242537943159956
110,tess2018263035959-s0003-0000000268686130-0123-s_lc.fits,outlier,outlier,0.4102240698567401
111,tess2018263035959-s0003-0000000279854361-0123-s_lc.fits,*,stellar,0.9065976196492366
112,tess2018263035959-s0003-0000000349569619-0123-s_lc.fits,outlier,outlier,0.3836522097815732
113,tess2018263035959-s0003-0000000166698465-0123-s_lc.fits,PM*,stellar,0.7860835132409633
114,tess2018263035959-s0003-0000000453079880-0123-s_lc.fits,PM*,stellar,0.7123030180532639
115,tess2018263035959-s0003-0000000266748675-0123-s_lc.fits,err,outlier,0.6233233485454054
116,tess2018263035959-s0003-0000000453080267-0123-s_lc.fits,outlier,outlier,0.36046509511813307
117,tess2018263035959-s0003-0000000003904057-0123-s_lc.fits,outlier,outlier,0.4222377611072316
118,tess2018263035959-s0003-0000000167169110-0123-s_lc.fits,outlier,outlier,0.36275664528693097
119,tess2018263035959-s0003-0000000166671318-0123-s_lc.fits,Pl,planet_like,0.9279684633762624
120,tess2018263035959-s0003-0000000164754564-0123-s_lc.fits,outlier,outlier,0.3845277388429871
121,tess2018263035959-s0003-0000000219993473-0123-s_lc.fits,outlier,outlier,0.43528505231162073
122,tess2018263035959-s0003-0000000266815439-0123-s_lc.fits,outlier,outlier,0.41786160060424415
123,tess2018263035959-s0003-0000000031870120-0123-s_lc.fits,err,outlier,0.6218868161534713
124,tess2018263035959-s0003-0000000149973196-0123-s_lc.fits,outlier,outlier,0.47309379909479155
125,tess2018263035959-s0003-0000000358710635-0123-s_lc.fits,outlier,outlier,0.3334377134388835
126,tess2018263035959-s0003-0000000141413706-0123-s_lc.fits,outlier,outlier,0.5476057818487404
127,tess2018263035959-s0003-0000000164697023-0123-s_lc.fits,outlier,outlier,0.5091561009339033
128,tess2018263035959-s0003-0000000219415590-0123-s_lc.fits,PM*,stellar,0.9170684675381519
129,tess2018263035959-s0003-0000000382188882-0123-s_lc.fits,err,outlier,0.8151449634647713
130,tess2018263035959-s0003-0000000176932711-0123-s_lc.fits,outlier,outlier,0.4134426268583552
131,tess2018263035959-s0003-0000000212381756-0123-s_lc.fits,*,stellar,0.8354884624931963
132,tess2018263035959-s0003-0000000066434723-0123-s_lc.fits,outlier,outlier,0.3747615213281767
133,tess2018263035959-s0003-0000000142299055-0123-s_lc.fits,*,stellar,0.6237961644588326
134,tess2018263035959-s0003-0000000358401810-0123-s_lc.fits,outlier,outlier,0.537569850454773
135,tess2018263035959-s0003-0000000374861626-0123-s_lc.fits,outlier,outlier,0.488343544506077
136,tess2018263035959-s0003-0000000313937691-0123-s_lc.fits,outlier,outlier,0.4606765240689358
137,tess2018263035959-s0003-0000000300085625-0123-s_lc.fits,outlier,outlier,0.3865197008812896
138,tess2018263035959-s0003-0000000152966803-0123-s_lc.fits,Pl,planet_like,0.8845977588438748
139,tess2018263035959-s0003-0000000038827910-0123-s_lc.fits,err,outlier,0.9285646978342167
140,tess2018263035959-s0003-0000000038609673-0123-s_lc.fits,PM*,stellar,0.8715669452463309
141,tess2018263035959-s0003-0000000391474315-0123-s_lc.fits,outlier,outlier,0.3840977661174167
142,tess2018263035959-s0003-0000000141625486-0123-s_lc.fits,outlier,outlier,0.3538633353503052
143,tess2018263035959-s0003-0000000146251521-0123-s_lc.fits,outlier,outlier,0.4903782480808776
144,tess2018263035959-s0003-0000000111269697-0123-s_lc.fits,PM*,stellar,0.8670068004129258
145,tess2018263035959-s0003-0000000278899461-0123-s_lc.fits,outlier,outlier,0.536528943154868
146,tess2018263035959-s0003-0000000030312104-0123-s_lc.fits,outlier,outlier,0.48931804864845757
147,tess2018263035959-s0003-0000000201897332-0123-s_lc.fits,PM*,stellar,0.6338931650544443
148,tess2018263035959-s0003-0000000037718790-0123-s_lc.fits,outlier,outlier,0.5626405499886417
149,tess2018263035959-s0003-0000000340784762-0123-s_lc.fits,*,stellar,0.6043094940886027
150,tess2018263035959-s0003-0000000032255918-0123-s_lc.fits,PM*,stellar,0.8232999422635001
151,tess2018263035959-s0003-0000000029902147-0123-s_lc.fits,err,outlier,0.8445890613410437
152,tess2018263035959-s0003-0000000167697441-0123-s_lc.fits,err,outlier,0.65972714388784
153,tess2018263035959-s0003-0000000038635211-0123-s_lc.fits,outlier,outlier,0.4815031502807178
154,tess2018263035959-s0003-0000000136843091-0123-s_lc.fits,outlier,outlier,0.5704172543999098
155,tess2018263035959-s0003-0000000248963082-0123-s_lc.fits,outlier,outlier,0.5652327837907724
156,tess2018263035959-s0003-0000000055293304-0123-s_lc.fits,outlier,outlier,0.3475203638685289
157,tess2018263035959-s0003-0000000229145358-0123-s_lc.fits,outlier,outlier,0.5292085000203195
158,tess2018263035959-s0003-0000000067645039-0123-s_lc.fits,Pl,planet_like,0.9130271485222926
159,tess2018263035959-s0003-0000000031505975-0123-s_lc.fits,*,stellar,0.8578736484610109
160,tess2018263035959-s0003-0000000038585410-0123-s_lc.fits,outlier,outlier,0.39622438410830346
161,tess2018263035959-s0003-0000000100107808-0123-s_lc.fits,outlier,outlier,0.5343992469417088
162,tess2018263035959-s0003-0000000381974387-0123-s_lc.fits,outlier,outlier,0.3732900470044247
163,tess2018263035959-s0003-0000000178154168-0123-s_lc.fits,outlier,outlier,0.395336014988373
164,tess2018263035959-s0003-0000000003892736-0123-s_lc.fits,outlier,outlier,0.5904650502263001
165,tess2018263035959-s0003-0000000219244444-0123-s_lc.fits,outlier,outlier,0.41635080017867976
166,tess2018263035959-s0003-0000000207145615-0123-s_lc.fits,Pl,planet_like,0.887376388367848
167,tess2018263035959-s0003-0000000231070386-0123-s_lc.fits,outlier,outlier,0.48167254614154814
168,tess2018263035959-s0003-0000000306338343-0123-s_lc.fits,outlier,outlier,0.3177392432126471
169,tess2018263035959-s0003-0000000007263621-0123-s_lc.fits,outlier,outlier,0.31101099055025144
170,tess2018263035959-s0003-0000000349307237-0123-s_lc.fits,outlier,outlier,0.3989671842489042
171,tess2018263035959-s0003-0000000300808454-0123-s_lc.fits,outlier,outlier,0.40065842383744177
172,tess2018263035959-s0003-0000000350622984-0123-s_lc.fits,outlier,outlier,0.5023164172767333
173,tess2018263035959-s0003-0000000348843152-0123-s_lc.fits,outlier,outlier,0.3909377170467736
174,tess2018263035959-s0003-0000000122608433-0123-s_lc.fits,outlier,outlier,0.496611832416165
175,tess2018263035959-s0003-0000000142082796-0123-s_lc.fits,outlier,outlier,0.548714300209914
176,tess2018263035959-s0003-0000000220517490-0123-s_lc.fits,Pl,planet_like,0.6154229665968335
177,tess2018263035959-s0003-0000000029760053-0123-s_lc.fits,outlier,outlier,0.37265084294207595
178,tess2018263035959-s0003-0000000260372062-0123-s_lc.fits,PM*,stellar,0.9172126464628694
179,tess2018263035959-s0003-0000000382636263-0123-s_lc.fits,outlier,outlier,0.5062863809713154
180,tess2018263035959-s0003-0000000141621534-0123-s_lc.fits,outlier,outlier,0.4646802578007266
181,tess2018263035959-s0003-0000000381975502-0123-s_lc.fits,outlier,outlier,0.4344203360212367
182,tess2018263035959-s0003-0000000220478686-0123-s_lc.fits,*,stellar,0.9202502309631966
183,tess2018263035959-s0003-0000000423665171-0123-s_lc.fits,outlier,outlier,0.32498791226291396
184,tess2018263035959-s0003-0000000150029756-0123-s_lc.fits,outlier,outlier,0.2962380932410971
185,tess2018263035959-s0003-0000000197787070-0123-s_lc.fits,Pl,planet_like,0.9604167362234903
186,tess2018263035959-s0003-0000000146268332-0123-s_lc.fits,outlier,outlier,0.45139623102748333
187,tess2018263035959-s0003-0000000184279292-0123-s_lc.fits,PM*,stellar,0.8204401559788569
188,tess2018263035959-s0003-0000000070515090-0123-s_lc.fits,outlier,outlier,0.5964057587625811
189,tess2018263035959-s0003-0000000120896022-0123-s_lc.fits,outlier,outlier,0.527903944515709
190,tess2018263035959-s0003-0000000140509983-0123-s_lc.fits,PM*,stellar,0.8277974018235413
191,tess2018263035959-s0003-0000000158621617-0123-s_lc.fits,outlier,outlier,0.533308577513434
192,tess2018263035959-s0003-0000000122615835-0123-s_lc.fits,Pl,planet_like,0.7084000192205109
193,tess2018263035959-s0003-0000000180724599-0123-s_lc.fits,*,stellar,0.7587839646276608
194,tess2018263035959-s0003-0000000261399229-0123-s_lc.fits,Pl,planet_like,0.852625437375519
195,tess2018263035959-s0003-0000000287350461-0123-s_lc.fits,outlier,outlier,0.43362552292885986
196,tess2018263035959-s0003-0000000179637387-0123-s_lc.fits,err,outlier,0.8226586247755223
197,tess2018263035959-s0003-0000000294982517-0123-s_lc.fits,outlier,outlier,0.5823586055852477
198,tess2018263035959-s0003-0000000309617509-0123-s_lc.fits,outlier,outlier,0.38760801977581966
199,tess2018263035959-s0003-0000000333603501-0123-s_lc.fits,outlier,outlier,0.423057613677414
200,tess2018263035959-s0003-0000000401867942-0123-s_lc.fits,*,stellar,0.7945630699750652
201,tess2018263035959-s0003-0000000349764112-0123-s_lc.fits,Pl?,planet_like,0.8050294232627397
202,tess2018263035959-s0003-0000000244176183-0123-s_lc.fits,outlier,outlier,0.3516717418540608
203,tess2018263035959-s0003-0000000281630320-0123-s_lc.fits,outlier,outlier,0.427861080712198
204,tess2018263035959-s0003-0000000439495617-0123-s_lc.fits,outlier,outlier,0.566701803608926
205,tess2018263035959-s0003-0000000259390093-0123-s_lc.fits,PM*,stellar,0.6106407815207875
206,tess2018263035959-s0003-0000000200745173-0123-s_lc.fits,PM*,stellar,0.7151483520582058
207,tess2018263035959-s0003-0000000364326480-0123-s_lc.fits,PM*,stellar,0.7271884187594159
208,tess2018263035959-s0003-0000000399702497-0123-s_lc.fits,err,outlier,0.6344838042324992
209,tess2018263035959-s0003-0000000091643239-0123-s_lc.fits,outlier,outlier,0.4425236274372543
210,tess2018263035959-s0003-0000000140970613-0123-s_lc.fits,outlier,outlier,0.43240151266104776
211,tess2018263035959-s0003-0000000031108321-0123-s_lc.fits,outlier,outlier,0.43698357885971173
212,tess2018263035959-s0003-0000000388105043-0123-s_lc.fits,PM*,stellar,0.8854238817468725
213,tess2018263035959-s0003-0000000197888883-0123-s_lc.fits,PM*,stellar,0.6757475867642111
214,tess2018263035959-s0003-0000000279360385-0123-s_lc.fits,outlier,outlier,0.5018764573311506
215,tess2018263035959-s0003-0000000098610550-0123-s_lc.fits,outlier,outlier,0.3340460850181495
216,tess2018263035959-s0003-0000000201885566-0123-s_lc.fits,outlier,outlier,0.32829398535798643
217,tess2018263035959-s0003-0000000248956832-0123-s_lc.fits,outlier,outlier,0.43097577065821435
218,tess2018263035959-s0003-0000000271892200-0123-s_lc.fits,outlier,outlier,0.39940658945562685
219,tess2018263035959-s0003-0000000024908944-0123-s_lc.fits,PM*,stellar,0.6071608799095981
220,tess2018263035959-s0003-0000000237921538-0123-s_lc.fits,outlier,outlier,0.3575991834363311
221,tess2018263035959-s0003-0000000055388535-0123-s_lc.fits,outlier,outlier,0.5666590910782897
222,tess2018263035959-s0003-0000000150062527-0123-s_lc.fits,*,stellar,0.6704242303320844
223,tess2018263035959-s0003-0000000139482908-0123-s_lc.fits,outlier,outlier,0.4643137806233326
224,tess2018263035959-s0003-0000000220476533-0123-s_lc.fits,outlier,outlier,0.5227635212499
225,tess2018263035959-s0003-0000000007222629-0123-s_lc.fits,outlier,outlier,0.4502124334673184
226,tess2018263035959-s0003-0000000404463096-0123-s_lc.fits,outlier,outlier,0.34290181722992696
227,tess2018263035959-s0003-0000000471013624-0123-s_lc.fits,outlier,outlier,0.4348653452735749
228,tess2018263035959-s0003-0000000098609713-0123-s_lc.fits,Pl,planet_like,0.7629115896262489
229,tess2018263035959-s0003-0000000268862481-0123-s_lc.fits,outlier,outlier,0.5724805932186591
230,tess2018263035959-s0003-0000000396695965-0123-s_lc.fits,EB*,binary_star,0.7837771921447061
231,tess2018263035959-s0003-0000000007245715-0123-s_lc.fits,Pl,planet_like,0.702442394299653
232,tess2018263035959-s0003-0000000212982053-0123-s_lc.fits,outlier,outlier,0.36431940173236876
233,tess2018263035959-s0003-0000000234343957-0123-s_lc.fits,err,outlier,0.7032481863445903
234,tess2018263035959-s0003-0000000033625362-0123-s_lc.fits,PM*,stellar,0.9448158752513985
235,tess2018263035959-s0003-0000000032089522-0123-s_lc.fits,*,stellar,0.6726525160096866
236,tess2018263035959-s0003-0000000183596451-0123-s_lc.fits,outlier,outlier,0.37941790733440534
237,tess2018263035959-s0003-0000000278955132-0123-s_lc.fits,Pl?,planet_like,0.781518339405069
238,tess2018263035959-s0003-0000000358249395-0123-s_lc.fits,Pl,planet_like,0.7133743154363659
239,tess2018263035959-s0003-0000000280831628-0123-s_lc.fits,outlier,outlier,0.3991637908932493
240,tess2018263035959-s0003-0000000201922554-0123-s_lc.fits,err,outlier,0.7114947355598003
241,tess2018263035959-s0003-0000000273879592-0123-s_lc.fits,*,stellar,0.6867680975697334
242,tess2018263035959-s0003-0000000140476882-0123-s_lc.fits,outlier,outlier,0.35349746541287874
243,tess2018263035959-s0003-0000000038586863-0123-s_lc.fits,outlier,outlier,0.586852772493996
244,tess2018263035959-s0003-0000000040047174-0123-s_lc.fits,outlier,outlier,0.3964511918926235
245,tess2018263035959-s0003-0000000198004736-0123-s_lc.fits,outlier,outlier,0.5354224591394307
246,tess2018263035959-s0003-0000000260414764-0123-s_lc.fits,outlier,outlier,0.4005763691075846
247,tess2018263035959-s0003-0000000032422219-0123-s_lc.fits,outlier,outlier,0.4013185873940937
248,tess2018263035959-s0003-0000000262884417-0123-s_lc.fits,outlier,outlier,0.49215078161106807
249,tess2018263035959-s0003-0000000350334181-0123-s_lc.fits,outlier,outlier,0.3983219481339817
250,tess2018263035959-s0003-0000000049623960-0123-s_lc.fits,PM*,stellar,0.6157571075461128
251,tess2018263035959-s0003-0000000142109390-0123-s_lc.fits,outlier,outlier,0.4394328274299954
252,tess2018263035959-s0003-0000000231056825-0123-s_lc.fits,outlier,outlier,0.3512014283648755
253,tess2018263035959-s0003-0000000241577342-0123-s_lc.fits,outlier,outlier,0.5854126099426282
254,tess2018263035959-s0003-0000000260472324-0123-s_lc.fits,err,outlier,0.7675609418525168
255,tess2018263035959-s0003-0000000220513299-0123-s_lc.fits,outlier,outlier,0.48213747595619805
256,tess2018263035959-s0003-0000000177253314-0123-s_lc.fits,PM*,stellar,0.6958304045125062
257,tess2018263035959-s0003-0000000401869168-0123-s_lc.fits,outlier,outlier,0.3331581600673042
258,tess2018263035959-s0003-0000000038632639-0123-s_lc.fits,outlier,outlier,0.44343037827798354
259,tess2018263035959-s0003-0000000369394619-0123-s_lc.fits,outlier,outlier,0.38243847090864125
260,tess2018263035959-s0003-0000000241577432-0123-s_lc.fits,outlier,outlier,0.41260818856135584
261,tess2018263035959-s0003-0000000066493070-0123-s_lc.fits,outlier,outlier,0.5822513501580207
262,tess2018263035959-s0003-0000000079569022-0123-s_lc.fits,*,stellar,0.7910811754309397
263,tess2018263035959-s0003-0000000040084551-0123-s_lc.fits,outlier,outlier,0.5683868560389754
264,tess2018263035959-s0003-0000000160220331-0123-s_lc.fits,outlier,outlier,0.45983655401022205
265,tess2018263035959-s0003-0000000098673896-0123-s_lc.fits,outlier,outlier,0.34394643574572914
266,tess2018263035959-s0003-0000000028091915-0123-s_lc.fits,outlier,outlier,0.4708243024790826
267,tess2018263035959-s0003-0000000165182835-0123-s_lc.fits,err,outlier,0.6232353987251181
268,tess2018263035959-s0003-0000000028092298-0123-s_lc.fits,PM*,stellar,0.8078256465657563
269,tess2018263035959-s0003-0000000382244912-0123-s_lc.fits,outlier,outlier,0.41118071386715804
270,tess2018263035959-s0003-0000000396697394-0123-s_lc.fits,outlier,outlier,0.3425117378599227
