,filename,matched_label,label_group,similarity_score
0,tess2018319095959-s0005-0000000140284538-0125-s_lc.fits,outlier,outlier,0.4097647472268712
1,tess2018319095959-s0005-0000000009458656-0125-s_lc.fits,outlier,outlier,0.31431476542885645
2,tess2018319095959-s0005-0000000007322870-0125-s_lc.fits,outlier,outlier,0.3709104460787246
3,tess2018319095959-s0005-0000000038601032-0125-s_lc.fits,Pl,planet_like,0.7917752102673347
4,tess2018319095959-s0005-0000000077372470-0125-s_lc.fits,EB*,binary_star,0.6497032574477822
5,tess2018319095959-s0005-0000000306574570-0125-s_lc.fits,outlier,outlier,0.3788224731403129
6,tess2018319095959-s0005-0000000375144305-0125-s_lc.fits,outlier,outlier,0.5100457669813618
7,tess2018319095959-s0005-0000000238915625-0125-s_lc.fits,outlier,outlier,0.4303206406905299
8,tess2018319095959-s0005-0000000244242976-0125-s_lc.fits,Pl,planet_like,0.7299122359475168
9,tess2018319095959-s0005-0000000031013214-0125-s_lc.fits,outlier,outlier,0.5846220008353833
10,tess2018319095959-s0005-0000000034200774-0125-s_lc.fits,outlier,outlier,0.4878060643382229
11,tess2018319095959-s0005-0000000257637478-0125-s_lc.fits,*,stellar,0.7186340000057718
12,tess2018319095959-s0005-0000000071045815-0125-s_lc.fits,outlier,outlier,0.30946218486415134
13,tess2018319095959-s0005-0000000220623817-0125-s_lc.fits,outlier,outlier,0.4898628801990069
14,tess2018319095959-s0005-0000000021579045-0125-s_lc.fits,outlier,outlier,0.4846434941077636
15,tess2018319095959-s0005-0000000250199858-0125-s_lc.fits,*,stellar,0.8675210408189514
16,tess2018319095959-s0005-0000000219160450-0125-s_lc.fits,outlier,outlier,0.5842327423652913
17,tess2018319095959-s0005-0000000071127696-0125-s_lc.fits,outlier,outlier,0.4196709523845709
18,tess2018319095959-s0005-0000000424994021-0125-s_lc.fits,outlier,outlier,0.36404658669056705
19,tess2018319095959-s0005-0000000200437734-0125-s_lc.fits,outlier,outlier,0.34970106649320837
20,tess2018319095959-s0005-0000000453837341-0125-s_lc.fits,outlier,outlier,0.4273961342807941
21,tess2018319095959-s0005-0000000459923336-0125-s_lc.fits,outlier,outlier,0.41085507899736995
22,tess2018319095959-s0005-0000000150430275-0125-s_lc.fits,outlier,outlier,0.4635065057916803
23,tess2018319095959-s0005-0000000038613798-0125-s_lc.fits,Pl,planet_like,0.6340949049027714
24,tess2018319095959-s0005-0000000453097891-0125-s_lc.fits,outlier,outlier,0.3604229785760633
25,tess2018319095959-s0005-0000000167813580-0125-s_lc.fits,outlier,outlier,0.5795591048958554
26,tess2018319095959-s0005-0000000141910178-0125-s_lc.fits,outlier,outlier,0.357868170771249
27,tess2018319095959-s0005-0000000029835001-0125-s_lc.fits,outlier,outlier,0.4230414119263529
28,tess2018319095959-s0005-0000000262609817-0125-s_lc.fits,outlier,outlier,0.423325364769739
29,tess2018319095959-s0005-0000000416719825-0125-s_lc.fits,outlier,outlier,0.5466751766553412
30,tess2018319095959-s0005-0000000300866996-0125-s_lc.fits,outlier,outlier,0.42706508715260266
31,tess2018319095959-s0005-0000000007647422-0125-s_lc.fits,outlier,outlier,0.31963091890415457
32,tess2018319095959-s0005-0000000259443859-0125-s_lc.fits,PM*,stellar,0.819761116316743
33,tess2018319095959-s0005-0000000176937262-0125-s_lc.fits,outlier,outlier,0.35892568177380524
34,tess2018319095959-s0005-0000000250131776-0125-s_lc.fits,outlier,outlier,0.38208806614511026
35,tess2018319095959-s0005-0000000373315803-0125-s_lc.fits,Pl,planet_like,0.9148515559155304
36,tess2018319095959-s0005-0000000030853470-0125-s_lc.fits,outlier,outlier,0.5020004961931813
37,tess2018319095959-s0005-0000000009266461-0125-s_lc.fits,outlier,outlier,0.45819088080111425
38,tess2018319095959-s0005-0000000179438938-0125-s_lc.fits,outlier,outlier,0.561474282468919
39,tess2018319095959-s0005-0000000246927990-0125-s_lc.fits,outlier,outlier,0.5210311346057298
40,tess2018319095959-s0005-0000000038939585-0125-s_lc.fits,outlier,outlier,0.31782902026970355
41,tess2018319095959-s0005-0000000150394361-0125-s_lc.fits,outlier,outlier,0.4027569068361701
42,tess2018319095959-s0005-0000000220399293-0125-s_lc.fits,outlier,outlier,0.431133997249798
43,tess2018319095959-s0005-0000000038423858-0125-s_lc.fits,SB*,binary_star,0.6887712654557241
44,tess2018319095959-s0005-0000000032089054-0125-s_lc.fits,outlier,outlier,0.44626792922670755
45,tess2018319095959-s0005-0000000299940359-0125-s_lc.fits,outlier,outlier,0.581354258728712
46,tess2018319095959-s0005-0000000450070610-0125-s_lc.fits,outlier,outlier,0.36872670580446165
