,filename,matched_label,label_group,similarity_score
0,tess2018292075959-s0004-0000000349677687-0124-s_lc.fits,outlier,outlier,0.4378523437031563
1,tess2018292075959-s0004-0000000389363675-0124-s_lc.fits,outlier,outlier,0.5207330146449548
2,tess2018292075959-s0004-0000000306667806-0124-s_lc.fits,*,stellar,0.7442472959071506
3,tess2018292075959-s0004-0000000167120384-0124-s_lc.fits,outlier,outlier,0.37989729344731343
4,tess2018292075959-s0004-0000000093019871-0124-s_lc.fits,PM*,stellar,0.761672384074264
5,tess2018292075959-s0004-0000000168675489-0124-s_lc.fits,outlier,outlier,0.4962573092189688
6,tess2018292075959-s0004-0000000178244192-0124-s_lc.fits,outlier,outlier,0.5651226682951088
7,tess2018292075959-s0004-0000000198076363-0124-s_lc.fits,Pl,planet_like,0.9007085832296774
8,tess2018292075959-s0004-0000000065517177-0124-s_lc.fits,outlier,outlier,0.4150415349353035
9,tess2018292075959-s0004-0000000040603917-0124-s_lc.fits,*,stellar,0.8784595208362845
10,tess2018292075959-s0004-0000000278899957-0124-s_lc.fits,Pl,planet_like,0.7747338691180458
11,tess2018292075959-s0004-0000000007623047-0124-s_lc.fits,*,stellar,0.75155100761819
12,tess2018292075959-s0004-0000000166834012-0124-s_lc.fits,outlier,outlier,0.31175711323301997
13,tess2018292075959-s0004-0000000038403036-0124-s_lc.fits,PM*,stellar,0.7116392425008151
14,tess2018292075959-s0004-0000000055498904-0124-s_lc.fits,*,stellar,0.6574520041530599
15,tess2018292075959-s0004-0000000281496164-0124-s_lc.fits,*,stellar,0.6286884160889316
16,tess2018292075959-s0004-0000000425177548-0124-s_lc.fits,Pl?,planet_like,0.6031349453846901
17,tess2018292075959-s0004-0000000206435532-0124-s_lc.fits,PM*,stellar,0.6188978872536426
18,tess2018292075959-s0004-0000000041228464-0124-s_lc.fits,outlier,outlier,0.33458551806584436
19,tess2018292075959-s0004-0000000219373714-0124-s_lc.fits,*,stellar,0.8983089867137068
20,tess2018292075959-s0004-0000000441131892-0124-s_lc.fits,outlier,outlier,0.5019254153202084
21,tess2018292075959-s0004-0000000025133068-0124-s_lc.fits,*,stellar,0.6031068531892735
22,tess2018292075959-s0004-0000000159923796-0124-s_lc.fits,outlier,outlier,0.5214716686556504
23,tess2018292075959-s0004-0000000237918902-0124-s_lc.fits,outlier,outlier,0.505282905256449
24,tess2018292075959-s0004-0000000088348916-0124-s_lc.fits,*,stellar,0.7691178336093226
25,tess2018292075959-s0004-0000000422847864-0124-s_lc.fits,outlier,outlier,0.4452634385148233
26,tess2018292075959-s0004-0000000141756213-0124-s_lc.fits,outlier,outlier,0.3871471342763142
27,tess2018292075959-s0004-0000000375056762-0124-s_lc.fits,*,stellar,0.6654756462755901
28,tess2018292075959-s0004-0000000364393119-0124-s_lc.fits,PM*,stellar,0.6228975538839349
29,tess2018292075959-s0004-0000000038908849-0124-s_lc.fits,outlier,outlier,0.4001872096250174
30,tess2018292075959-s0004-0000000290754830-0124-s_lc.fits,PM*,stellar,0.7495063280349198
31,tess2018292075959-s0004-0000000176780019-0124-s_lc.fits,outlier,outlier,0.5540320207794578
32,tess2018292075959-s0004-0000000140157219-0124-s_lc.fits,*,stellar,0.7631440831189563
33,tess2018292075959-s0004-0000000358466523-0124-s_lc.fits,outlier,outlier,0.5438748544428563
34,tess2018292075959-s0004-0000000271976400-0124-s_lc.fits,outlier,outlier,0.5103436452083474
35,tess2018292075959-s0004-0000000144598282-0124-s_lc.fits,outlier,outlier,0.30230125082303344
36,tess2018292075959-s0004-0000000149847485-0124-s_lc.fits,outlier,outlier,0.3980827439860667
37,tess2018292075959-s0004-0000000350931342-0124-s_lc.fits,outlier,outlier,0.5168635392168632
38,tess2018292075959-s0004-0000000348898031-0124-s_lc.fits,PM*,stellar,0.733475668079667
39,tess2018292075959-s0004-0000000141621803-0124-s_lc.fits,PM*,stellar,0.6967288175554188
40,tess2018292075959-s0004-0000000391902278-0124-s_lc.fits,*,stellar,0.7982351088696265
41,tess2018292075959-s0004-0000000038825397-0124-s_lc.fits,PM*,stellar,0.7403996167661137
42,tess2018292075959-s0004-0000000321011736-0124-s_lc.fits,err,outlier,0.8717742186638133
43,tess2018292075959-s0004-0000000231291216-0124-s_lc.fits,*,stellar,0.7323867491519164
44,tess2018292075959-s0004-0000000146688411-0124-s_lc.fits,PM*,stellar,0.813208399690627
45,tess2018292075959-s0004-0000000354553386-0124-s_lc.fits,PM*,stellar,0.7351636898253174
46,tess2018292075959-s0004-0000000422654344-0124-s_lc.fits,Pl?,planet_like,0.6465234572977575
47,tess2018292075959-s0004-0000000398716830-0124-s_lc.fits,PM*,stellar,0.7114120862299879
48,tess2018292075959-s0004-0000000160031935-0124-s_lc.fits,PM*,stellar,0.906734441018207
49,tess2018292075959-s0004-0000000220474943-0124-s_lc.fits,outlier,outlier,0.5218325868246658
50,tess2018292075959-s0004-0000000270379171-0124-s_lc.fits,*,stellar,0.7486974276464111
51,tess2018292075959-s0004-0000000215402573-0124-s_lc.fits,*,stellar,0.627077616592359
52,tess2018292075959-s0004-0000000079514758-0124-s_lc.fits,outlier,outlier,0.4643091125553993
