,filename,matched_label,label_group,similarity_score
0,tess2018234235059-s0002-0000000080289107-0121-s_lc.fits,outlier,outlier,0.30422121479809866
1,tess2018234235059-s0002-0000000089564253-0121-s_lc.fits,outlier,outlier,0.4960042382503163
2,tess2018234235059-s0002-0000000267116053-0121-s_lc.fits,outlier,outlier,0.4073411117352042
3,tess2018234235059-s0002-0000000219212790-0121-s_lc.fits,outlier,outlier,0.47219209815572805
4,tess2018234235059-s0002-0000000055760886-0121-s_lc.fits,outlier,outlier,0.49409681839470687
5,tess2018234235059-s0002-0000000229099535-0121-s_lc.fits,Pl?,planet_like,0.6313528342889879
6,tess2018234235059-s0002-0000000201332810-0121-s_lc.fits,PM*,stellar,0.9319904417563645
7,tess2018234235059-s0002-0000000012433730-0121-s_lc.fits,PM*,stellar,0.7005040668579896
8,tess2018234235059-s0002-0000000179282698-0121-s_lc.fits,outlier,outlier,0.5807626650760758
9,tess2018234235059-s0002-0000000120563708-0121-s_lc.fits,PM*,stellar,0.6156240239169801
10,tess2018234235059-s0002-0000000306773798-0121-s_lc.fits,outlier,outlier,0.381525842058594
11,tess2018234235059-s0002-0000000370235670-0121-s_lc.fits,*,stellar,0.6818347524374603
12,tess2018234235059-s0002-0000000206615548-0121-s_lc.fits,outlier,outlier,0.3561899062313711
13,tess2018234235059-s0002-0000000281597810-0121-s_lc.fits,outlier,outlier,0.3863195509131848
14,tess2018234235059-s0002-0000000311086887-0121-s_lc.fits,outlier,outlier,0.4422523376706402
15,tess2018234235059-s0002-0000000350622984-0121-s_lc.fits,outlier,outlier,0.4910717109917384
16,tess2018234235059-s0002-0000000349788510-0121-s_lc.fits,outlier,outlier,0.42923359053649035
17,tess2018234235059-s0002-0000000150392377-0121-s_lc.fits,outlier,outlier,0.37132398186625093
18,tess2018234235059-s0002-0000000254300704-0121-s_lc.fits,outlier,outlier,0.4078597537015427
19,tess2018234235059-s0002-0000000313890957-0121-s_lc.fits,outlier,outlier,0.535943580557576
20,tess2018234235059-s0002-0000000149971754-0121-s_lc.fits,outlier,outlier,0.38768206331113897
21,tess2018234235059-s0002-0000000251840507-0121-s_lc.fits,outlier,outlier,0.38557579572381345
22,tess2018234235059-s0002-0000000038586863-0121-s_lc.fits,Pl?,planet_like,0.7137341896165295
23,tess2018234235059-s0002-0000000020892142-0121-s_lc.fits,outlier,outlier,0.4194253559181353
24,tess2018234235059-s0002-0000000262885414-0121-s_lc.fits,*,stellar,0.6025651806673087
25,tess2018234235059-s0002-0000000141611237-0121-s_lc.fits,PM*,stellar,0.898051004598784
26,tess2018234235059-s0002-0000000149253409-0121-s_lc.fits,outlier,outlier,0.34900926344180216
27,tess2018234235059-s0002-0000000229064630-0121-s_lc.fits,outlier,outlier,0.39230012588269997
28,tess2018234235059-s0002-0000000197883936-0121-s_lc.fits,outlier,outlier,0.5208909196452866
29,tess2018234235059-s0002-0000000382259669-0121-s_lc.fits,outlier,outlier,0.3434220055504812
30,tess2018234235059-s0002-0000000231282779-0121-s_lc.fits,outlier,outlier,0.5679548638992377
31,tess2018234235059-s0002-0000000279950870-0121-s_lc.fits,outlier,outlier,0.4086507455869789
32,tess2018234235059-s0002-0000000206549676-0121-s_lc.fits,outlier,outlier,0.4486935464260407
33,tess2018234235059-s0002-0000000206503364-0121-s_lc.fits,outlier,outlier,0.5611745533462307
34,tess2018234235059-s0002-0000000364589441-0121-s_lc.fits,Pl?,planet_like,0.7179988597177285
35,tess2018234235059-s0002-0000000047337164-0121-s_lc.fits,outlier,outlier,0.4008933289011578
36,tess2018234235059-s0002-0000000402101275-0121-s_lc.fits,outlier,outlier,0.5421491206851172
37,tess2018234235059-s0002-0000000027955204-0121-s_lc.fits,PM*,stellar,0.7286635724016686
38,tess2018234235059-s0002-0000000009664691-0121-s_lc.fits,outlier,outlier,0.5465673958923435
39,tess2018234235059-s0002-0000000012418527-0121-s_lc.fits,outlier,outlier,0.44190255082112817
40,tess2018234235059-s0002-0000000204324494-0121-s_lc.fits,outlier,outlier,0.3249502828100698
41,tess2018234235059-s0002-0000000142051786-0121-s_lc.fits,PM*,stellar,0.6638796129403907
42,tess2018234235059-s0002-0000000251845020-0121-s_lc.fits,outlier,outlier,0.4270157114187974
43,tess2018234235059-s0002-0000000272085437-0121-s_lc.fits,PM*,stellar,0.9507204226664435
44,tess2018234235059-s0002-0000000234348335-0121-s_lc.fits,outlier,outlier,0.48606566193569023
45,tess2018234235059-s0002-0000000407661867-0121-s_lc.fits,outlier,outlier,0.5408816199191597
46,tess2018234235059-s0002-0000000100097566-0121-s_lc.fits,outlier,outlier,0.34139269649074455
47,tess2018234235059-s0002-0000000183984138-0121-s_lc.fits,outlier,outlier,0.583672944307892
48,tess2018234235059-s0002-0000000140688941-0121-s_lc.fits,*,stellar,0.6266374944217005
49,tess2018234235059-s0002-0000000206502540-0121-s_lc.fits,outlier,outlier,0.33776821677729374
50,tess2018234235059-s0002-0000000280052691-0121-s_lc.fits,PM*,stellar,0.6047939923890637
51,tess2018234235059-s0002-0000000167549278-0121-s_lc.fits,*,stellar,0.7947743320383721
52,tess2018234235059-s0002-0000000382461854-0121-s_lc.fits,outlier,outlier,0.37315547424376855
53,tess2018234235059-s0002-0000000402029209-0121-s_lc.fits,*,stellar,0.8227422051881873
54,tess2018234235059-s0002-0000000300561157-0121-s_lc.fits,*,stellar,0.8025691077740992
55,tess2018234235059-s0002-0000000101992165-0121-s_lc.fits,outlier,outlier,0.3618102923150506
56,tess2018234235059-s0002-0000000231742691-0121-s_lc.fits,err,outlier,0.6357754090666117
57,tess2018234235059-s0002-0000000166760016-0121-s_lc.fits,outlier,outlier,0.33658169598062126
58,tess2018234235059-s0002-0000000369579717-0121-s_lc.fits,outlier,outlier,0.33644336276664855
59,tess2018234235059-s0002-0000000066398170-0121-s_lc.fits,PM*,stellar,0.6537657362689124
60,tess2018234235059-s0002-0000000150437065-0121-s_lc.fits,PM*,stellar,0.6442928253244431
61,tess2018234235059-s0002-0000000012421161-0121-s_lc.fits,outlier,outlier,0.4681842948960784
62,tess2018234235059-s0002-0000000396697394-0121-s_lc.fits,*,stellar,0.6628012815291567
63,tess2018234235059-s0002-0000000031852076-0121-s_lc.fits,Pl,planet_like,0.6490390220323163
64,tess2018234235059-s0002-0000000326445729-0121-s_lc.fits,Pl,planet_like,0.6858879510663359
65,tess2018234235059-s0002-0000000373985424-0121-s_lc.fits,outlier,outlier,0.5179957739890594
66,tess2018234235059-s0002-0000000382451092-0121-s_lc.fits,outlier,outlier,0.41146537183097626
67,tess2018234235059-s0002-0000000141757441-0121-s_lc.fits,PM*,stellar,0.709688740545858
68,tess2018234235059-s0002-0000000069925250-0121-s_lc.fits,outlier,outlier,0.5551619607404535
69,tess2018234235059-s0002-0000000230980302-0121-s_lc.fits,outlier,outlier,0.4315522556332089
70,tess2018234235059-s0002-0000000273827258-0121-s_lc.fits,outlier,outlier,0.5464201880282064
71,tess2018234235059-s0002-0000000040800142-0121-s_lc.fits,outlier,outlier,0.4336427440599889
72,tess2018234235059-s0002-0000000197867011-0121-s_lc.fits,outlier,outlier,0.32322086472648937
73,tess2018234235059-s0002-0000000156069115-0121-s_lc.fits,outlier,outlier,0.487148297872524
74,tess2018234235059-s0002-0000000350521118-0121-s_lc.fits,outlier,outlier,0.5955146636869048
75,tess2018234235059-s0002-0000000388130663-0121-s_lc.fits,*,stellar,0.6243598048624781
76,tess2018234235059-s0002-0000000055650170-0121-s_lc.fits,outlier,outlier,0.40026400019219643
77,tess2018234235059-s0002-0000000155542407-0121-s_lc.fits,outlier,outlier,0.4156693812142001
78,tess2018234235059-s0002-0000000183530773-0121-s_lc.fits,outlier,outlier,0.34807685725954535
79,tess2018234235059-s0002-0000000204326654-0121-s_lc.fits,outlier,outlier,0.31527123760454107
80,tess2018234235059-s0002-0000000141092369-0121-s_lc.fits,Pl,planet_like,0.6174104503382306
81,tess2018234235059-s0002-0000000102070580-0121-s_lc.fits,outlier,outlier,0.49387132437973336
82,tess2018234235059-s0002-0000000246849513-0121-s_lc.fits,PM*,stellar,0.7203615125124606
83,tess2018234235059-s0002-0000000369335000-0121-s_lc.fits,outlier,outlier,0.4692343112746861
84,tess2018234235059-s0002-0000000469937196-0121-s_lc.fits,outlier,outlier,0.32763630372338726
85,tess2018234235059-s0002-0000000349972048-0121-s_lc.fits,outlier,outlier,0.5037231738408303
86,tess2018234235059-s0002-0000000176956387-0121-s_lc.fits,outlier,outlier,0.4242275632806377
87,tess2018234235059-s0002-0000000350136745-0121-s_lc.fits,outlier,outlier,0.5931129712659328
